Column,Data Type,Missing Values,Missing %
VendorID,int32,0,0.0
tpep_pickup_datetime,datetime64[us],0,0.0
tpep_dropoff_datetime,datetime64[us],0,0.0
passenger_count,float64,540149,15.54
trip_distance,float64,0,0.0
RatecodeID,float64,540149,15.54
store_and_fwd_flag,str,540149,15.54
PULocationID,int32,0,0.0
DOLocationID,int32,0,0.0
payment_type,int64,0,0.0
fare_amount,float64,0,0.0
extra,float64,0,0.0
mta_tax,float64,0,0.0
tip_amount,float64,0,0.0
tolls_amount,float64,0,0.0
improvement_surcharge,float64,0,0.0
total_amount,float64,0,0.0
congestion_surcharge,float64,540149,15.54
Airport_fee,float64,540149,15.54
cbd_congestion_fee,float64,0,0.0
